home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
CELTA,GIRONA,1.804782233808986,0.8079904389574819,0.6173,0.2209,0.1618,0.4912,0.4654,D,1,1,2,0,1,1.336016663754107,balanced
REAL MADRID,BARCELONA,1.8871220298084328,1.129715341440319,0.5508,0.2239,0.2253,0.573,0.5629,H,3,2,5,1,1,1.4417378357197728,balanced
FREIBURG,WERDER BREMEN,2.0096074298313114,0.9063661192542154,0.6142,0.2115,0.1743,0.5695,0.5267,H,1,0,1,0,0,1.3452441319692139,balanced
BOLOGNA,INTER,1.3137849071291656,1.5507242484417598,0.3296,0.244,0.4264,0.5525,0.5841,H,1,0,1,0,0,1.5486637696874874,high_uncertainty
MONACO,ST ETIENNE,2.2839349573844583,0.9442114984919083,0.679,0.1834,0.1376,0.6303,0.5477,H,1,0,1,0,0,1.2217356897644156,balanced
NOTT'M FOREST,WEST HAM,1.9191580428957522,0.925644295237585,0.6106,0.2087,0.1807,0.5329,0.5054,H,3,0,3,1,0,1.3523576737166987,balanced
LILLE,MONACO,1.4228419321531276,1.1473491902111879,0.4337,0.2612,0.3051,0.4727,0.5167,H,2,0,2,0,0,1.551121961612346,high_uncertainty
STUTTGART,FREIBURG,1.759317679794142,1.3334839747701765,0.4691,0.2348,0.2961,0.5887,0.6051,H,5,0,5,1,0,1.5230261683009707,high_uncertainty
BAYERN MUNICH,HOFFENHEIM,3.276894663955208,0.9839067929545421,0.8087,0.1125,0.0788,0.7968,0.6081,H,5,0,5,1,0,0.8911782011995577,predictable
GETAFE,VALLADOLID,1.9038981747767199,0.7609519857595493,0.6369,0.2192,0.1439,0.4916,0.4479,H,2,0,2,0,0,1.2969798041461336,balanced
MAN UNITED,FULHAM,1.806240066447491,1.324749568004823,0.488,0.2336,0.2784,0.6091,0.6192,A,1,2,3,1,1,1.50875316231507,high_uncertainty
NOTT'M FOREST,MAN CITY,1.2049604266329899,1.9569392862701642,0.2245,0.2156,0.5599,0.6122,0.5988,H,1,0,1,0,0,1.4295924459856044,balanced
LENS,PARIS FC,1.6607616671117764,1.1394821155128605,0.4921,0.2403,0.2676,0.5256,0.5401,H,2,1,3,1,1,1.506660903170546,high_uncertainty
BRIGHTON,EVERTON,2.043148716757092,0.904537268134992,0.6375,0.2153,0.1472,0.5624,0.5137,D,1,1,2,0,1,1.2979552729617427,balanced
LECCE,BOLOGNA,1.0379109330263656,1.3100639101957234,0.2974,0.2724,0.4302,0.4258,0.4745,D,1,1,2,0,1,1.5549047616087712,high_uncertainty
BURNLEY,TOTTENHAM,1.5221420578892912,1.2463377607208703,0.4305,0.2564,0.3131,0.5182,0.5524,A,2,5,7,1,1,1.5514387740213356,high_uncertainty
SHEFFIELD UNITED,NOTT'M FOREST,0.7408553561815436,1.580974289583804,0.1711,0.2589,0.57,0.4099,0.4226,A,1,3,4,1,1,1.402791661492676,balanced
ATH MADRID,ATH BILBAO,1.62753446589704,0.998333392978078,0.5227,0.244,0.2333,0.4905,0.5027,H,3,1,4,1,1,1.4756396319638392,balanced
AUGSBURG,BAYERN MUNICH,0.9495734363891801,1.928825159563863,0.1786,0.2232,0.5982,0.5428,0.523,A,1,3,4,1,1,1.370215304818128,balanced
