home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
STRASBOURG,AUXERRE,1.4865668048952272,1.002616580258901,0.477,0.2568,0.2662,0.4543,0.4909,H,3,0,3,1,0,1.5213512128367956,high_uncertainty
BARCELONA,ATH MADRID,2.4246198276547517,1.186341169867533,0.6457,0.1813,0.173,0.6987,0.6338,H,3,1,4,1,1,1.2920095309309028,balanced
NOTT'M FOREST,WEST HAM,1.3175457794027472,1.5406719046697794,0.3305,0.2476,0.4219,0.5546,0.5812,H,2,0,2,0,0,1.551823009756088,high_uncertainty
LORIENT,MONTPELLIER,1.209312514931248,1.6963925191493794,0.2801,0.2425,0.4774,0.5534,0.5764,A,0,3,3,1,0,1.5191726485045909,high_uncertainty
TOTTENHAM,ARSENAL,1.7501878147254089,1.7631101247837446,0.3911,0.2162,0.3927,0.6878,0.6811,A,0,1,1,0,0,1.5369655045054689,high_uncertainty
GETAFE,VALLECANO,1.4713483369254938,0.6851977307974907,0.5643,0.2605,0.1752,0.3695,0.3805,A,0,2,2,0,0,1.4116127863115273,balanced
ATALANTA,EMPOLI,3.1616522312707187,0.5528008354508402,0.8761,0.0896,0.0343,0.7179,0.4131,H,3,2,5,1,1,0.645920132467618,predictable
NICE,PARIS FC,2.026021250144977,1.1571089190209936,0.5776,0.2132,0.2092,0.6161,0.6011,D,1,1,2,0,1,1.4049271158243033,balanced
FIORENTINA,ROMA,1.7831119058413447,1.1417806793572418,0.5271,0.2292,0.2437,0.5568,0.5529,H,5,1,6,1,1,1.470459142608452,balanced
WEST HAM,TOTTENHAM,1.500881688527259,1.114803303709417,0.4535,0.2604,0.2861,0.4961,0.5246,A,0,3,3,1,0,1.5393799114493516,high_uncertainty
GETAFE,SOCIEDAD,0.9207808149924888,1.5752851216915278,0.2228,0.2549,0.5223,0.4567,0.4796,D,1,1,2,0,1,1.4747075118294013,balanced
SOCIEDAD,SEVILLA,1.6630824324748974,1.1094357250708253,0.4995,0.2396,0.2609,0.5295,0.5438,H,2,1,3,1,1,1.4998451987002326,balanced
ASTON VILLA,CRYSTAL PALACE,1.237254524761231,1.2473494830759986,0.3631,0.263,0.3739,0.4584,0.5062,H,3,1,4,1,1,1.568125587300873,high_uncertainty
ASTON VILLA,LUTON,2.074918825027156,0.8005769910648636,0.679,0.1975,0.1235,0.545,0.4774,H,3,1,4,1,1,1.2140486231339744,balanced
WEST HAM,IPSWICH,1.36755726191566,0.969157320058287,0.4557,0.2792,0.2651,0.4193,0.4715,H,4,1,5,1,1,1.538366511471174,high_uncertainty
NANTES,MONTPELLIER,1.4307186878394214,1.1431152643563396,0.4379,0.2596,0.3025,0.478,0.5217,H,3,0,3,1,0,1.548579855937638,high_uncertainty
BARCELONA,OSASUNA,3.2117814673504532,0.8041806514292792,0.8377,0.1008,0.0615,0.7628,0.5278,H,2,0,2,0,0,0.7951503597809609,predictable
DORTMUND,LEVERKUSEN,1.1277914375849682,2.079315031146398,0.2049,0.2102,0.5849,0.6133,0.5853,A,2,3,5,1,1,1.394152152395285,balanced
EMPOLI,MILAN,0.8927495160521132,1.6544807619349216,0.1999,0.2346,0.5655,0.4715,0.4687,A,0,2,2,0,0,1.4200841691886634,balanced
MONACO,METZ,2.334082163328722,1.0185339355633738,0.6636,0.1886,0.1478,0.6421,0.572,H,2,1,3,1,1,1.2541537044170143,balanced
SASSUOLO,GENOA,1.5906731923453659,1.2533646639683282,0.4498,0.2465,0.3037,0.5529,0.5772,A,1,2,3,1,1,1.53861908311674,high_uncertainty
WEST HAM,MAN CITY,1.016321382100053,1.8289116564091057,0.2072,0.2254,0.5674,0.5426,0.5345,A,1,3,4,1,1,1.4188998816073055,balanced
EVERTON,WEST HAM,1.4483833997773143,1.068555099985384,0.4503,0.2698,0.2799,0.4618,0.5067,A,1,3,4,1,1,1.5424271728342154,high_uncertainty
NOTT'M FOREST,CHELSEA,0.8872762169379249,1.5726688431043132,0.2161,0.2539,0.53,0.4452,0.4643,A,0,3,3,1,0,1.4652062604705085,balanced
ATH MADRID,GIRONA,1.9357029026599057,1.1069257529234593,0.5613,0.2216,0.2171,0.5985,0.5822,H,3,1,4,1,1,1.4277969749825643,balanced
MONTPELLIER,LE HAVRE,2.2383382447576965,1.0087806701438289,0.6577,0.186,0.1563,0.6315,0.5677,D,2,2,4,1,1,1.2674414444270863,balanced
LEICESTER,CHELSEA,0.9505961761241343,1.7793168719636867,0.1964,0.2413,0.5623,0.5078,0.514,A,1,2,3,1,1,1.423143486320589,balanced
NICE,MARSEILLE,1.3418955521935498,1.708734514565085,0.304,0.234,0.462,0.592,0.6044,H,2,0,2,0,0,1.527240919058502,high_uncertainty
LAS PALMAS,GIRONA,1.3947323639836535,1.1969624826960077,0.4124,0.2589,0.3287,0.4857,0.5208,H,1,0,1,0,0,1.5593483778546051,high_uncertainty
FREIBURG,ST PAULI,1.4979620621929288,0.9880536741859056,0.497,0.2542,0.2488,0.4654,0.4981,H,2,1,3,1,1,1.5029322124512197,high_uncertainty
ARSENAL,WOLVES,1.9184344201145673,0.6101973287094588,0.6763,0.2106,0.1131,0.465,0.3963,H,2,1,3,1,1,1.2105430849337655,balanced
CRYSTAL PALACE,LIVERPOOL,1.1222178413702288,1.7767135988866511,0.2419,0.2322,0.5259,0.5574,0.5597,A,1,2,3,1,1,1.472020416166824,balanced
TOTTENHAM,WEST HAM,2.240331177946163,1.4787902987133703,0.5552,0.2035,0.2413,0.7163,0.6894,H,4,1,5,1,1,1.433670157478179,balanced
GIRONA,LAS PALMAS,1.777994297900369,0.8734494043925977,0.5881,0.2357,0.1762,0.4932,0.4851,H,2,1,3,1,1,1.3831657093708758,balanced
GIRONA,VALLECANO,1.5490882342631034,0.8598472611391654,0.5429,0.2573,0.1998,0.434,0.4519,H,3,0,3,1,0,1.446551737581869,balanced
OSASUNA,ESPANOL,1.5896374930524648,0.9122372435141367,0.536,0.2492,0.2148,0.4563,0.4712,H,2,0,2,0,0,1.4584159229196092,balanced
MILAN,PARMA,2.0003441724874187,0.7727634177062389,0.664,0.2049,0.1311,0.5277,0.4723,H,3,2,5,1,1,1.2451507841134062,balanced
NAPOLI,LAZIO,1.2295448327001965,1.1681705400378148,0.3695,0.2854,0.3451,0.4331,0.4902,A,0,1,1,0,0,1.5767036577970868,high_uncertainty
GIRONA,VALENCIA,1.0693537382304266,1.0983924969044658,0.3512,0.2949,0.3539,0.3627,0.436,H,2,1,3,1,1,1.5800596032542364,high_uncertainty
SUNDERLAND,WEST HAM,1.4397142477034255,1.1436728983629567,0.4408,0.2554,0.3038,0.4746,0.5165,H,3,0,3,1,0,1.5460383856354747,high_uncertainty
BARCELONA,VALENCIA,2.0049161861985567,0.6742253516970371,0.6828,0.1981,0.1191,0.5077,0.4311,H,4,2,6,1,1,1.2041673239498867,balanced
UNION BERLIN,FREIBURG,1.4911793651850869,1.2517100090044961,0.4283,0.2545,0.3172,0.5169,0.5523,D,0,0,0,0,0,1.5518449340271159,high_uncertainty
EIN FRANKFURT,M'GLADBACH,1.7226540447520557,1.2756147007668062,0.4797,0.2361,0.2842,0.5825,0.5966,H,2,1,3,1,1,1.515898443214615,high_uncertainty
CHELSEA,CRYSTAL PALACE,1.7160574660695698,0.8487683026482804,0.5772,0.2373,0.1855,0.477,0.4701,H,2,1,3,1,1,1.4009451000098414,balanced
VALLECANO,ATH MADRID,1.1494969552410144,1.6125209135886451,0.2738,0.2475,0.4787,0.524,0.5468,D,1,1,2,0,1,1.519033000464537,high_uncertainty
LENS,MARSEILLE,1.4432652918624609,0.9553726016292486,0.4903,0.2686,0.2411,0.4434,0.4794,H,1,0,1,0,0,1.5083577019615977,high_uncertainty
REAL MADRID,LAS PALMAS,2.608605082229401,0.9218971117900112,0.7358,0.1576,0.1066,0.6899,0.5697,H,4,1,5,1,1,1.0900720154730819,predictable
STUTTGART,DORTMUND,1.7195888294014865,1.5157023015012432,0.4296,0.2275,0.3429,0.6269,0.6399,H,5,1,6,1,1,1.5390937639219338,high_uncertainty
SHEFFIELD UNITED,ASTON VILLA,0.9486237554000648,1.7950103619466458,0.192,0.2285,0.5795,0.517,0.5107,A,0,5,5,1,0,1.3998976972346058,balanced
M'GLADBACH,HEIDENHEIM,1.7620391753762596,1.3708389065851634,0.4611,0.2348,0.3041,0.6043,0.6154,H,3,2,5,1,1,1.5280831487488038,high_uncertainty
OSASUNA,VALENCIA,1.6019133124904947,1.0863440411346454,0.4946,0.247,0.2584,0.5064,0.5247,H,1,0,1,0,0,1.505130355294682,high_uncertainty
METZ,ANGERS,1.4063951793172818,1.1507642226966404,0.4336,0.2613,0.3051,0.4773,0.5206,D,1,1,2,0,1,1.5511950716201413,high_uncertainty
MILAN,FIORENTINA,1.592823278658527,1.1948525818264397,0.4726,0.2418,0.2856,0.5284,0.5534,H,1,0,1,0,0,1.5226057220262605,high_uncertainty
FREIBURG,EIN FRANKFURT,1.4248463142577419,1.2089348339487866,0.4172,0.2619,0.3209,0.4912,0.5316,D,3,3,6,1,1,1.5586108881077505,high_uncertainty
LYON,NANTES,1.6791832334032932,1.2937922554921921,0.4622,0.2446,0.2932,0.5701,0.5937,H,2,0,2,0,0,1.5305008958818778,high_uncertainty
INTER,CAGLIARI,3.062704136743014,0.9504147994894366,0.7938,0.1233,0.0829,0.7644,0.584,D,2,2,4,1,1,0.9346092391291143,predictable
DARMSTADT,WOLFSBURG,1.3577532171453686,1.3455715278217553,0.3706,0.2609,0.3685,0.5091,0.5536,A,0,1,1,0,0,1.5671971461037453,high_uncertainty
BOLOGNA,CAGLIARI,2.092132917615449,0.857914237103141,0.6645,0.1938,0.1417,0.5692,0.504,H,2,1,3,1,1,1.2500874290618533,balanced
CAGLIARI,NAPOLI,1.075543020622375,1.8546855002347225,0.2201,0.2254,0.5545,0.568,0.5579,D,1,1,2,0,1,1.4368671342417885,balanced
MALLORCA,ATH MADRID,1.0156625697441748,1.462867623171729,0.2614,0.2631,0.4755,0.4523,0.493,A,0,1,1,0,0,1.5227633762274388,high_uncertainty
HEIDENHEIM,WERDER BREMEN,1.6273925150732016,1.3323562583859179,0.4521,0.2373,0.3106,0.5711,0.5971,H,4,2,6,1,1,1.534174540545819,high_uncertainty
BOURNEMOUTH,NOTT'M FOREST,2.179948874141055,1.031192857708827,0.6375,0.192,0.1705,0.627,0.5609,D,1,1,2,0,1,1.3063184461367883,balanced
LECCE,GENOA,1.6631648979009641,0.9051102876845607,0.5405,0.2491,0.2104,0.4776,0.4878,H,1,0,1,0,0,1.4524081091505587,balanced
EIN FRANKFURT,WERDER BREMEN,1.836650622345022,1.1936074976453852,0.5292,0.2226,0.2482,0.5891,0.5849,H,4,1,5,1,1,1.467333779690099,balanced
REIMS,MARSEILLE,1.249745157190173,1.490998161989546,0.3217,0.2505,0.4278,0.5185,0.5552,H,1,0,1,0,0,1.5506987949075737,high_uncertainty
BRENTFORD,LIVERPOOL,0.8733071427978536,1.8092382792940092,0.188,0.2293,0.5827,0.4954,0.4871,A,0,2,2,0,0,1.394521704130469,balanced
STRASBOURG,NANTES,1.4027098759009327,1.4520199599064436,0.3594,0.2563,0.3843,0.5508,0.5837,H,3,1,4,1,1,1.5642100485439099,high_uncertainty
ANGERS,MONACO,0.9249516458560313,1.6594289203778692,0.2069,0.2467,0.5464,0.4848,0.5005,D,1,1,2,0,1,1.4448566261936675,balanced
NICE,MARSEILLE,1.1481456715803307,1.9488784873896938,0.2167,0.2204,0.5629,0.5996,0.5807,A,1,5,6,1,1,1.425631318314173,balanced
METZ,LORIENT,1.2598101911900739,0.9593610715275224,0.4352,0.2787,0.2861,0.3928,0.4458,A,1,2,3,1,1,1.5525800449988076,high_uncertainty
CREMONESE,JUVENTUS,1.081694072062617,1.5682345170753882,0.252,0.2563,0.4917,0.4925,0.5266,A,1,2,3,1,1,1.5080749761844274,high_uncertainty
ATALANTA,VERONA,2.3322881390033072,0.7526731507782638,0.7257,0.1706,0.1037,0.5935,0.4764,H,6,1,7,1,1,1.109978014077043,predictable
LAS PALMAS,SEVILLA,1.6690565462403852,1.047826760069947,0.5208,0.2361,0.2431,0.5118,0.5217,A,0,2,2,0,0,1.4778775414154202,balanced
LIVERPOOL,NOTT'M FOREST,3.0293933151929124,1.0700893323197365,0.7642,0.1343,0.1015,0.7733,0.6202,A,0,1,1,0,0,1.0204839309943712,predictable
ASTON VILLA,SOUTHAMPTON,1.3445703632720192,0.4857511417381299,0.5807,0.2872,0.1321,0.2809,0.2888,H,1,0,1,0,0,1.3580418842251112,balanced
BOLOGNA,ROMA,1.357331392870801,1.0309597659369083,0.4398,0.2704,0.2898,0.4259,0.4703,H,2,0,2,0,0,1.5492330985647338,high_uncertainty
MAN UNITED,LIVERPOOL,1.1472892029836574,2.5073356188366445,0.1541,0.1759,0.67,0.7042,0.6233,A,0,3,3,1,0,1.24388678801743,balanced
PARIS SG,NANTES,2.646859343005304,0.8503833847616779,0.7542,0.1473,0.0985,0.6773,0.5405,D,1,1,2,0,1,1.0433177149779675,predictable
LORIENT,STRASBOURG,1.268845182264359,1.284202906371032,0.3655,0.2621,0.3724,0.4715,0.5163,A,1,2,3,1,1,1.5677522531867296,high_uncertainty
UDINESE,GENOA,1.4921329425034473,1.1200497889735757,0.4502,0.265,0.2848,0.4863,0.5243,D,2,2,4,1,1,1.5421177639380086,high_uncertainty
MARSEILLE,LE HAVRE,2.070788476508666,1.0099714600343543,0.6195,0.2025,0.178,0.5879,0.5552,H,3,0,3,1,0,1.337755656660138,balanced
SOCIEDAD,VALLECANO,1.4273963303372148,1.1768980759769756,0.4325,0.2525,0.315,0.4902,0.5315,A,0,1,1,0,0,1.5493379060245394,high_uncertainty
MARSEILLE,TOULOUSE,1.8840562930292004,1.0033898993940096,0.5877,0.221,0.1913,0.5487,0.5362,D,0,0,0,0,0,1.3884477970197404,balanced
